PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Noventiq (Softline) | Partner Engineer: Jaquelyn Montañez | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 22 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),5,"$815,000.00",0,$0.00,2,"$124,000.00",7,"$939,000.00",100.0%,Build with AI,"$134,142.86",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,5,"$815,000.00",0,$0.00,2,"$124,000.00",7,"$939,000.00",100.0%,-,"$134,142.86",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hZGxTQAW"", ""Graña y Montero S.A.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZAsHOAW"", ""Assessment DC Exit"")","$240,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Ramirez-Gaston Vizcarra,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NzK30IAF"", ""AENZA - DA & DC Exit - 500K"")",0014M00001h323yQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMsVoQAK"", ""Forus"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009sm8qOAA"", ""Nuevas Cargas GCP from AWS"")","$300,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christian Cuadros,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JNQv9IAH"", ""Forus GCP Commit"")",0014M00001h39APQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hhn6jQAA"", ""Kupfer Hnos. S. A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZHlQOAW"", ""Kupfer GE 100 Seats"")","$45,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christian Cuadros,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OmPSaIAN"", ""Kupfer - Gemini Enterprise 150 seats , agentes IA"")",0014M00001h39APQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002MfkHKQAZ"", ""CMF Chile - Comisión para el Mercado Financiero Chile"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e3H4OAI"", ""WL  CMF GE & Vertex IA"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Oscar Barraza,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OGaVRIA1"", ""CMF - GE & Vertex IA #SalesCreditPOC"")",0014M00001h39APQAY,Progressed
