Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,🔴 Gap (0 / 7 wkls)
Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,2,3,🟡 Constrained (3 / 7 wkls)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,1,5,6,🟡 Constrained (6 / 7 wkls)
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,2,3,🟡 Constrained (3 / 5 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,4,5,🟢 Ready (5 / 5 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,,🔴 Gap (0 / 5 wkls)
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,4,5,🟢 Ready (5 / 5 wkls)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,1,1,🟡 Constrained (1 / 5 wkls)
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,4,5,🟢 Ready (5 / 5 wkls)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,4,5,🟢 Ready (5 / 5 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,2,5,7,🟢 Ready (7 / 4 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,3,6,🟢 Ready (6 / 4 wkls)
Data & Analytics,The AI Ready Data Cloud,BigQuery,2,5,7,🟢 Ready (7 / 4 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,3,6,🟢 Ready (6 / 4 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,🔴 Gap (0 / 4 wkls)
Data & Analytics,The AI Ready Data Cloud,Looker,,1,1,🟡 Constrained (1 / 4 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,🔴 Gap (0 / 1 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,5,1,6,🟢 Ready (6 / 1 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,1,3,4,🟢 Ready (4 / 1 wkls)
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,🔴 Gap (0 / 1 wkls)
Databases,The AI Ready Data Cloud,Cloud SQL,5,1,6,🟢 Ready (6 / 1 wkls)
Databases,The AI Ready Data Cloud,Spanner,1,3,4,🟢 Ready (4 / 1 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,3,3,🟡 Constrained (3 / 8 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,🔴 Gap (0 / 8 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,3,4,7,🟡 Constrained (7 / 8 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,8,6,14,🟢 Ready (14 / 8 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,10,4,14,🟢 Ready (14 / 8 wkls)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,🔴 Gap (0 / 8 wkls)
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,🔴 Gap (0 / 2 wkls)
Security,Agentic Defense with Google Security,Security Command Center,3,4,7,🟢 Ready (7 / 2 wkls)
Security,Agentic Defense with Google Security,Security Operations,2,1,3,🟢 Ready (3 / 2 wkls)
Security,Secure Innovation with Google Cloud,Cloud Security,8,3,11,🟢 Ready (11 / 2 wkls)
Workspace,Agentic Workplace Transformation,Workspace,,2,2,🟢 Ready (2 profiles)
