PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Growth Partner Network (GPN) | Partner Engineer: Ignacio Rauda, Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),6,"$365,000.00",0,$0.00,0,$0.00,6,"$365,000.00",100.0%,Migrate Modernize and Build,"$60,833.33",Front-Loaded,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,6,"$365,000.00",0,$0.00,0,$0.00,6,"$365,000.00",100.0%,-,"$60,833.33",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hdZ26QAE"", ""Transportes Castores"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJOyOAM"", ""Transportes Castores #GCP #Maps"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Linnet Jáuregui,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Kqu46IAB"", ""Transportes Castores #GCP #SAP"")",0014M000020cUJuQAM,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hvGz4QAE"", ""TUM Transportistas Unidos Mexicanos División Norte, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJPhOAM"", ""TUM Infra"")","$250,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alfredo Esqueda,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PNnb9IAD"", ""GCP - BD"")",0014M000020cUJuQAM,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h3RyIQAU"", ""Premium Restaurant Brands, S. de R.L.C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kHNUOA2"", ""workload/PRB/FWSec"")","$15,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Evelyn Sandoval,Security,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P79ipIAB"", ""PRB [Firewalls Perimetrales]"")",0014M000020cUJuQAM,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHlKgQAK"", ""TRABAJANDO COM CHILE S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W9c3OAC"", ""Trabajando RecommendationAI"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Agustina Maria Cano,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PGBbwIAH"", ""Trabajando #INB #RecommendationAI"")",0014M00001h38bpQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHlKgQAK"", ""TRABAJANDO COM CHILE S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ta9BOAQ"", ""Trabajando.com - Gemini Enterprise CX"")","$15,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Agustina Maria Cano,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSYtUIAX"", ""Trabajando.com - Gemini Enterprise CX"")",0014M00001h38bpQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmd2QQAQ"", ""Arabela, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kKjnOAE"", ""Arabela - Consesion"")","$25,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Linnet Jáuregui,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OBhLgIAL"", ""Arabela - Concesion para Proyecto VMs"")",0014M00001h38bpQAA,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002TEKP9QAP,No Upgrades
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002TEKP9QAP,No Upgrades
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002TEKP9QAP,No Upgrades
TOTAL DRP TIER PROMOTIONS,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
No DRP tier promotions recorded for this partner in Q3 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
No individual practitioner transitions recorded for this partner in Q3 2026,,,,,,,,,,,,,
