Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDzLOAW/view"", ""Aduanas - 100 GE+ licences - 60KACV"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,3:  Proposal / Negotiation,2026-09-01,2026-10-14,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WCuyOAG/view"", ""MinEc - Cerebro"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-08-24,2026-10-30,"250,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WCl3OAG/view"", ""GWS - 90k seats"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate and Modernize Databases,4.2: Ramping / Deliver,2026-08-13,2026-12-30,"2,979,878.40"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001pA41CQAS/view"", ""Centro Nacional de Registro"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WC1jOAG/view"", ""CNR - 154 GE seats"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OetugIAB/view"", ""CNR - 154 GE seats"")",,PS,MEXICO & PECS PS,Build with AI,4.3: Migrated/Implemented,2026-06-30,2026-07-28,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBezOAG/view"", ""ISSS - 300 licencias GE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,4.2: Ramping / Deliver,2026-07-16,2026-09-30,"272,757.96"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hOJ3fQAG/view"", ""Ministerio de Relaciones Exteriores (RREE)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WArOOAW/view"", ""Mirex - GE 500 licencias"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeskuIAB/view"", ""GE - 500 licencias - Mirex - RREE"")",,PS,MEXICO & PECS PS,Build with AI,4.1: Pre Ramp / Mobilize,2026-08-19,2026-10-22,"300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W9rrOAC/view"", ""Drones - Min Defensa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Analytics,4.2: Ramping / Deliver,2026-08-28,2026-09-24,"297,551.76"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W9OQOA0/view"", ""GWS - 90k seats - 2026"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-10-30,2027-01-29,"2,979,878.40"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8mlOAC/view"", ""ISTU App - 80k$"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-05-15,2026-09-17,"55,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8CiOAK/view"", ""ISBM - Data Analytics & Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,4.2: Ramping / Deliver,2026-05-21,2026-09-30,"440,000.00"
