Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNxQOAW/view"", ""BQ para Banking"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oo2JEIAZ/view"", ""Tenpo Banking Infraestructure"")",,Corporate,MCO CORP SUR,Analytics,4.3: Migrated/Implemented,2026-07-01,2026-07-30,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVM5dQAG/view"", ""Banco de Chile"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNaiOAG/view"", ""BanChile Socofin Microsoft Hyper-V to GCP N4 + Storage Pools"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cmf9SQAQ/view"", ""Banco de Chile/$18M TCV /5 YR"")",,MCO,Chile,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-09-30,2026-12-01,"270,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hp5OIQAY/view"", ""FARMATODO COLOMBIA S A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNanOAG/view"", ""Farmatodo Colombia - Backend Multicountry AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYRcEIAX/view"", ""Farmatodo Colombia - Backend Multicountry AlloyDB #DMTOOLKIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004QvKKAU/view"", ""ER-504405"")",MCO,Colombia,Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-12-15,2027-01-28,"50,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePxROAU/view"", ""Centria/CI - Cancelacion y Reagendamiento"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Analytics,4.2: Ramping / Deliver,2026-08-03,2026-10-12,"106,139.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPLjQAO/view"", ""Centro de Compensacion Automatizado S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZN9fOAG/view"", ""Gemini Enterprise CCA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OmosBIAR/view"", ""Gemini Enterprise CCA"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-15,2026-11-30,"51,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6smPQAQ/view"", ""Simetrik"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePeyOAE/view"", ""Simetrik Datacenter Exit - Compute & Storage"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op7TbIAJ/view"", ""Simetrik - Migración AWS GCP 2026"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-30,2026-12-23,"1,200,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00000wivDzIAI/view"", ""Nova Andino Litio S.p.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZN16OAG/view"", ""[Novandino] GDC for AI (Gemma)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N56DEIAZ/view"", ""SQM Litio (Novandino) - Digital Transformation"")",,MCO,Chile,"GDC, Sovereign",0-2: Tech Eval/Solution Dev,2026-12-14,2027-04-30,"250,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6smPQAQ/view"", ""Simetrik"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePf3OAE/view"", ""Simetrik - Cloud AI Bedrock"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op7TbIAJ/view"", ""Simetrik - Migración AWS GCP 2026"")",,Corporate,MCO CORP NORTE,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-31,2026-10-29,"240,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202KgkQAE/view"", ""KOBA Colombia SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDA3OAO/view"", ""D1 - Proyectos nativos GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JLh4UIAT/view"", ""KOBA Colombia SAS/ $1,546,000 TCV/3 YR"")",,MCO,Colombia,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-15,2026-11-30,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMrLOAW/view"", ""SIP - Agora migration and launch for finance phase 2"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhdhEIAR/view"", ""Financiera Oh Agora Migration (Finance)"")",,MCO,EM (PE/EC),Migrate Modernize and Build,4.1: Pre Ramp / Mobilize,2026-08-04,2026-11-27,"72,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hZ69xQAC/view"", ""Banesco Panama S.A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMY1OAO/view"", ""BANESCO Panama - Data Analytics"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Li7SvIAJ/view"", ""BANESCO Panama - Data Analytics"")",,Corporate,MCO CORP CCA,Analytics,0-2: Tech Eval/Solution Dev,2026-09-30,2026-10-15,"150,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h4OWYQA2/view"", ""Intersurance Insurance Company"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMBkOAO/view"", ""Interseguro - DB Reverse ETL BigQuery / Spanner"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PXFTOIA5/view"", ""Interseguro - DB Reverse ETL BigQuery / Spanner"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004PNHKA2/view"", ""ER-500739"")",MCO,EM (PE/EC),Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,,,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hulsXQAQ/view"", ""EMPRESA DE TELECOMUNICACIONES DE BOGOTA S A ESP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOgyOAE/view"", ""ETB - Skynet Whitelabel"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Jf3JSIAZ/view"", ""ETB - Infrastructure Migration & Workspace takeover Standard"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-10-07,2026-10-29,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eObUOAU/view"", ""Centria/Rimac - Carretera de Datos No Estructurados (3ra Etapa)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Analytics,3:  Proposal / Negotiation,2026-09-14,2026-12-07,"276,072.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eObPOAU/view"", ""Centria/Rimac - Carretera de Datos No Estructurados (2da Etapa)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Analytics,4.1: Pre Ramp / Mobilize,2026-08-10,2026-10-10,"274,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eObgOAE/view"", ""Centria/Qroma - Arquitectura de NBO [MVP]"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Migrate Modernize and Build,3:  Proposal / Negotiation,2026-08-10,2026-09-14,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOcmOAE/view"", ""Centria/Rimac - Arquitectura TRAMAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Migrate Modernize and Build,3:  Proposal / Negotiation,2026-08-10,2026-10-12,"36,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOcrOAE/view"", ""Centria/Rimac - Fábrica de Agentes Gen AI en Google Cloud (Agente Legal)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Migrate Modernize and Build,3:  Proposal / Negotiation,2026-08-10,2026-10-12,"36,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eObfOAE/view"", ""Centria/Qroma - Ingesta de datos a GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Migrate Modernize and Build,4.3: Migrated/Implemented,2026-05-04,2026-07-06,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMFQdQAO/view"", ""Grupo Breca"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOcSOAU/view"", ""Centria - Agentes IA para tareas en SAP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZ9ZiIAL/view"", ""CENTRIA SERVICIOS ADMINISTRATIVOS S.A.C. /  $ 25,000,000 TCV / 6 YRS"")",,MCO,EM (PE/EC),Build with AI,4.1: Pre Ramp / Mobilize,2026-07-27,2026-07-31,"18,000.00"
