Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVM3ZQAW/view"", ""Redinterclinica S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNiLOAW/view"", ""Secops Redinterclinica"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Pi0hdIAB/view"", ""Secops Redinterclinica"")",,Corporate,MCO CORP SUR,Security,0-2: Tech Eval/Solution Dev,2026-11-16,2026-12-15,"50,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RPcdoQAD/view"", ""Pay As You Drive Technologies"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WD2OOAW/view"", ""MIITUO#MIGRACION INFRA SAP PROD"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyuMIAR/view"", ""Miituo - Migración GCE#Recommit"")",,Mexico,MX DN,Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-09-11,2026-09-30,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RPcdoQAD/view"", ""Pay As You Drive Technologies"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WD2dOAG/view"", ""MIITUO#Migracion Looker"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyuMIAR/view"", ""Miituo - Migración GCE#Recommit"")",,Mexico,MX DN,Analytics,3:  Proposal / Negotiation,2026-09-11,2026-09-30,"25,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RPcdoQAD/view"", ""Pay As You Drive Technologies"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WD2iOAG/view"", ""MIITUO#Seguridad#WIZ"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyuMIAR/view"", ""Miituo - Migración GCE#Recommit"")",,Mexico,MX DN,Security,3:  Proposal / Negotiation,2026-09-11,2026-09-30,"21,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RPcdoQAD/view"", ""Pay As You Drive Technologies"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WD2TOAW/view"", ""MIITUO#Data&Analytics#BigQuery addon"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyuMIAR/view"", ""Miituo - Migración GCE#Recommit"")",,Mexico,MX DN,Analytics,0-2: Tech Eval/Solution Dev,2026-09-11,2026-09-30,"15,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RPcdoQAD/view"", ""Pay As You Drive Technologies"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WD2YOAW/view"", ""MIITUO#GE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyuMIAR/view"", ""Miituo - Migración GCE#Recommit"")",,Mexico,MX DN,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-11,2026-09-30,"5,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013iOmRIAU/view"", ""Camara Chilena de la Construccion A.G."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBo6OAG/view"", ""Otic CCC - WL M2C - uCloud"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OexRTIAZ/view"", ""Otic CCC - GCP M2C - Ucloud"")",,Corporate,MCO CORP SUR,Analytics,0-2: Tech Eval/Solution Dev,2026-11-04,2027-01-19,"75,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001ijXa5QAE/view"", ""Multilog S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMPvOAM/view"", ""[Multilog] #GCVE Expansion (4 nodes)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OkmygIAB/view"", ""[Multilog] #reCommit #GCVE #OCI #SAPCAP"")",,Corporate,BR CORP,Migrate Modernize and Build,3:  Proposal / Negotiation,2027-04-16,2027-04-30,"170,311.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001ijXa5QAE/view"", ""Multilog S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eLknOAE/view"", ""[Multilog] #Kubernetes (2026)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OkmygIAB/view"", ""[Multilog] #reCommit #GCVE #OCI #SAPCAP"")",,Corporate,BR CORP,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-09-11,2026-09-30,"17,558.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiEOSQA2/view"", ""GREENVIC S.A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eKs2OAE/view"", ""GREENVIC S.A OUT GEMINIENTERPRISE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OerUHIAZ/view"", ""GREENVIC S.A OUT GEMINIENTERPRISE"")",,Corporate,MCO CORP SUR,Build with AI,3:  Proposal / Negotiation,2026-08-14,2026-09-30,"87,852.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lyFlxQAE/view"", ""G4 Solutions in Information Management"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZGmHOAW/view"", ""#WL_G4_GeminiAIDev"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYW0jIAH/view"", ""G4 - Commit 3Y"")",,Corporate,BR CORP,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-28,2026-09-25,"45,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001ijXa5QAE/view"", ""Multilog S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eHe2OAE/view"", ""[Multilog] #OCI to GCP (2026)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OkmygIAB/view"", ""[Multilog] #reCommit #GCVE #OCI #SAPCAP"")",,Corporate,BR CORP,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-09-11,2026-09-30,"221,238.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013iOmRIAU/view"", ""Camara Chilena de la Construccion A.G."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8Q6OAK/view"", ""Otic CCC - B-DR - Ucloud"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NNQsOIAX/view"", ""OTIC #B&DR"")",,Corporate,MCO CORP SUR,Storage,0-2: Tech Eval/Solution Dev,2026-10-15,2027-02-18,"26,000.00"
