Partner:,Growth Partner Network (GPN),,,Last Update:,28 - Aug 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RRZEPQA5/view"", ""Médica Sur"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eR7SOAU/view"", ""(New 26) Médica Sur EBC NY - Gemini Enterprise TUMOR BOARD (Paco Cuevas)(Abelard"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w5K5QAI/view"", ""Satoshi Falcón"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrWWMIA3/view"", ""(New 26) Médica Sur EBC NY - Gemini Enterprise TUMOR BOARD (Paco Cuevas)(Abelardo)"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-10-02,2026-12-31,"$250,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hmd2QQAQ/view"", ""Arabela, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kKjnOAE/view"", ""Arabela - Consesion"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OBhLgIAL/view"", ""Arabela - Concesion para Proyecto VMs"")",,Corporate,MX CORP,Migrate Modernize and Build,Enterprise Platform of Choice: VMWare,VMware Engine,2026-12-14,2027-12-14,"$25,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hQ0rKQAS/view"", ""Grupo Sport World"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMbPOAW/view"", ""Workload - Sport World - Gemeni Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O9twtIAB/view"", ""Grupo Sport World #GCP#Gemini Enterprise #OUT #MX"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),,2026-12-07,2026-12-21,"$180,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvG3LQAU/view"", ""Grupo Vimar"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMZ9OAO/view"", ""Workload - Grupo Vimar - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000005pk9gQAA/view"", ""Jose Perez Medina"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op8UPIAZ/view"", ""#GRUPOVIMAR #OUT_BOUND #GCP #Gemini_Enterprise"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),,2026-10-15,2026-10-29,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hdZ26QAE/view"", ""Transportes Castores"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kKE1OAM/view"", ""Transportes Castores #GCP #Gemini Enterprise (3750 users)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OBZRJIA5/view"", ""Transportes Castores #GCP #Gemini Enterprise (3750 users)"")",,Corporate,MX CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,,,"$300,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvGz4QAE/view"", ""TUM Transportistas Unidos Mexicanos División Norte, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJgnOAE/view"", ""TUM - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004vviqQAA/view"", ""Alfredo Esqueda"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OYjrDIAT/view"", ""TUM DV Gemini Enterprise"")",,Corporate,MX CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-08-31,2026-09-01,"$90,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvGz4QAE/view"", ""TUM Transportistas Unidos Mexicanos División Norte, S.A. de C.V."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJPhOAM/view"", ""TUM Infra"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004vviqQAA/view"", ""Alfredo Esqueda"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PNnb9IAD/view"", ""GCP - BD"")",,Corporate,MX CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-11-02,2026-11-20,"$250,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hdZ26QAE/view"", ""Transportes Castores"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJOyOAM/view"", ""Transportes Castores #GCP #Maps"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002TFi5IAG/view"", ""Linnet Jáuregui"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kqu46IAB/view"", ""Transportes Castores #GCP #SAP"")",,Corporate,MX CORP,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),Customer Experience Agent Studio,2026-10-17,2026-10-17,"$30,000.00",,
