PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Consiti (Consultoría y Soluciones Informáticas) | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 15 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),1,"$300,000.00",1,"$300,000.00",0,$0.00,2,"$600,000.00",40.0%,Build with AI,"$300,000.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),2,"$600,000.00",1,"$300,000.00",0,$0.00,3,"$900,000.00",60.0%,Build with AI,"$300,000.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,3,"$900,000.00",2,"$600,000.00",0,$0.00,5,"$1,500,000.00",100.0%,-,"$300,000.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202fW9QAI"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WArOOAW"", ""Mirex - GE 500 licencias"")","$300,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-08,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Adri Messih,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/0064M00000cKF5SQAW"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",001Kf000013fuVXIAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202fW9QAI"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WArOOAW"", ""Mirex - GE 500 licencias"")","$300,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Adri Messih,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/0064M00000cKF5SQAW"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",001Kf000013fuVXIAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202fW9QAI"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WArOOAW"", ""Mirex - GE 500 licencias"")","$300,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-20,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Adri Messih,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/0064M00000cKF5SQAW"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",001Kf000013fuVXIAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOJ3fQAG"", ""Ministerio de Relaciones Exteriores (RREE)"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WEBCOA4"", ""Mirex - GE 500 licencias - 300k$"")","$300,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Adri Messih,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OeskuIAB"", ""GE - 500 licencias - Mirex - RREE"")",001Kf000013fuVXIAY,Progressed
