Partner:,Xertica,,,Last Update:,28 - Aug 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hp486QAA/view"", ""PROCAPS S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eTJ1OAM/view"", ""Procaps - GE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004w7A7QAI/view"", ""Dario Palma Villarreal"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OsBt4IAF/view"", ""GE - For Procaps"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-19,2026-11-30,"$37,800.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001qLEMfQAO/view"", ""Caja Piura"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRJnOAM/view"", ""Caja Piura | Data Lake"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (17 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Orl4SIAR/view"", ""Caja Piura | Data Lake"")",,Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-11-01,2026-12-31,"$36,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RRZSjQAP/view"", ""Grupo Celima Trebol"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRJYOA2/view"", ""Celima | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Orl3jIAB/view"", ""Celima | 100 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-12-01,2026-12-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hnx9JQAQ/view"", ""Banco Interamericano de Finanzas S.A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRLeOAM/view"", ""Banbif | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qxs4IAC/view"", ""Arianne Mahuad"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrlGJIAZ/view"", ""Banbif | 100 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-11-30,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001nVMcZQAW/view"", ""CARTOPEL"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQoQOAU/view"", ""#CARTOPEL #ECUADOR #Gemini Enterprise #OUTBOUND"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PhzJsIAJ/view"", ""#CARTOPEL #ECUADOR #Gemini Enterprise & BigQuery  #OUTBOUND"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2027-03-01,2027-03-30,"$50,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001nVMcZQAW/view"", ""CARTOPEL"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQoaOAE/view"", ""#CARTOPEL #ECUADOR BigQuery #OUTBOUND"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (17 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PhzJsIAJ/view"", ""#CARTOPEL #ECUADOR #Gemini Enterprise & BigQuery  #OUTBOUND"")",,Corporate,MCO CORP NORTE,Analytics,The Agentic Data Cloud,"Intelligent Apps, Enterprise Search & Vector Capability (AlloyDB, Spanner, BigQuery etc)",2027-03-02,2027-03-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSN4vQAG/view"", ""BANCO FINANDINA SA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQ8oOAE/view"", ""FY26-tier3 #Finanzauto #INB #Data Analytics & IA #Recaudo & Cobranza Inteligente"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001nkrtIAA/view"", ""Jorge Armando Barrios"")",0-2: Tech Eval/Solution Dev,🟢 Ready (17 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PXa7LIAT/view"", ""FY26-tier3 #Finanzauto #INB #Data Analytics & IA #Recaudo & Cobranza Inteligente con Analítica"")",,Corporate,MCO CORP NORTE,Analytics,The Agentic Data Cloud,Log Analytics,2027-01-15,2027-02-19,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001xjogaQAA/view"", ""Banco de Machala S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kKvjOAE/view"", ""GE Plus"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002Qz8SIAS/view"", ""Alexandra Rodríguez"")",0-2: Tech Eval/Solution Dev,🟢 Ready (18 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PXafFIAT/view"", ""Banco de Machala S A - Gemini Enterprise Plus 4"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-09-04,2026-09-18,$0.00,,
