Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
Application Modernization,"Migrate, Modernize and Build",Cloud Run,,1,1
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,1,2
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,1,4,5
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,1,1
Data & Analytics,The AI Ready Data Cloud,BigQuery,1,4,5
Data & Analytics,The AI Ready Data Cloud,Dataflow,,1,1
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
Data & Analytics,The AI Ready Data Cloud,Looker,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,3,3
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
Databases,The AI Ready Data Cloud,Cloud SQL,,3,3
Databases,The AI Ready Data Cloud,Spanner,,,
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,2,2
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,4,3,7
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,2,2
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,6,,6
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,6,1,7
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
Security,Agentic Defense with Google Security,Security Command Center,5,,5
Security,Agentic Defense with Google Security,Security Operations,5,,5
Security,Secure Innovation with Google Cloud,Cloud Security,5,1,6
Workspace,Agentic Workplace Transformation,Workspace,,,
