Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,1,2
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,0,1,1
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,0,1,1
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,0,1,1
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,0,1,1
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,8,3,11
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,5,8
Data & Analytics,The AI Ready Data Cloud,BigQuery,8,3,11
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,5,8
Data & Analytics,The AI Ready Data Cloud,Looker,1,1,2
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,1,0,1
