PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: SantoDigital | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),6,"$371,768.92",15,"$1,325,020.00",2,"$300,000.00",23,"$1,996,788.92",65.7%,Build with AI,"$86,816.91",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$25,000.00",10,"$895,203.48",1,"$60,000.00",12,"$980,203.48",34.3%,Migrate Modernize and Build,"$81,683.62",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,7,"$396,768.92",25,"$2,220,223.48",3,"$360,000.00",35,"$2,976,992.40",100.0%,-,"$85,056.93",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000017fbXAIAY"", ""SDWC SERVICOS E TECNOLOGIA LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKDZOA4"", ""AI Migration"")","$25,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Maria Eduarda Mamede,Infra AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PQC52IAH"", ""SDWC - AI Part 2 #SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYMPaQAO"", ""Prontmed"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMkoOAE"", ""ProntMed #SantoDigitalAWSMigration"")","$100,768.92",Stage 0-2 ➔ Stage 3,July,2026-07-08,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Vito Colognori Ialongo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqZ7JIAV"", ""Prontmed #AWSMigration #SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000017fbXAIAY"", ""SDWC SERVICOS E TECNOLOGIA LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKDZOA4"", ""AI Migration"")","$25,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Maria Eduarda Mamede,Infra AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PQC52IAH"", ""SDWC - AI Part 2 #SantoDigital"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKChiQAG"", ""Atlas Indústria de Eletrodomésticos Ltda."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W9i6OAC"", ""Atlas eletromésticos - Gemine Enterprise #M26"")","$32,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Fernando Vieira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PGANKIA5"", ""Atlas eletromésticos - Gemine Enterprise #M26"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001jiJE0QAM"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZJMPOA4"", ""Gemini Ent Atakarejo"")","$24,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Vanessa Moyses,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PMbRAIA1"", ""Atakarejo GE"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hkDwpQAE"", ""Bullla S/a"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZDtfOAG"", ""Bullla - Gemini Enterprise"")","$70,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Sarah Tobias,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P8aCeIAJ"", ""Bullla - Gemini Enterprise"")",0014M00001h328CQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hqATyQAM"", ""Tramontina Central de Administração Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009td9xOAA"", ""Tramontina - GKE Enterprise - Gestão dos clusters Kubernetes onprem"")","$120,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-29,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Sebastian Gomez,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSiBhIAL"", ""Tramontina - GKE Enterprise - Gestão dos clusters Kubernetes onprem"")",0014M00001h328CQAQ,Progressed
