Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,2,3
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,1,5,6
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,2,3
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,4,5
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,4,5
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,1,1
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,4,5
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,4,5
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,2,5,7
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,3,6
Data & Analytics,The AI Ready Data Cloud,BigQuery,2,5,7
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,3,6
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
Data & Analytics,The AI Ready Data Cloud,Looker,,1,1
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,5,1,6
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,1,3,4
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
Databases,The AI Ready Data Cloud,Cloud SQL,5,1,6
Databases,The AI Ready Data Cloud,Spanner,1,3,4
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,3,3
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,3,4,7
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,8,6,14
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,10,4,14
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
Security,Agentic Defense with Google Security,Security Command Center,3,4,7
Security,Agentic Defense with Google Security,Security Operations,2,1,3
Security,Secure Innovation with Google Cloud,Cloud Security,8,3,11
Workspace,Agentic Workplace Transformation,Workspace,,2,2
