Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUBZqQAO/view"", ""Marisa Lojas S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZOOgOAO/view"", ""Marisa Commit Direct 3Y"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PNoF9IAL/view"", ""Commit Marisa 3Y Direct"")",,Corporate,BR CORP,Analytics,0-2: Tech Eval/Solution Dev,2026-09-11,2027-01-29,"1,500,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUEKQQA4/view"", ""PATRUS TRANSPORTES LTDA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZOMLOA4/view"", ""Projeto de Inovação - Patrus (tier1) #AIMBH26"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ORNg5IAH/view"", ""Projeto de Inovação - Patrus (tier1) #AIMBH26"")",,Corporate,BR CORP,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-30,2026-09-30,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htWqyQAE/view"", ""Valgroup"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQoLOAU/view"", ""Valgroup - GE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Of71uIAB/view"", ""Valgroup #GCP #GeminiEnterprise #MQL"")",,Corporate,BR CORP,Build with AI,3:  Proposal / Negotiation,2026-09-16,2026-09-29,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hqeqJQAQ/view"", ""CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQUGOA2/view"", ""CBF_IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PXQ2LIAX/view"", ""CBF - Passaporte do Jogador"")",,Corporate,BR CORP,Build with AI,3:  Proposal / Negotiation,2026-09-07,2026-10-12,"130,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVWHQA2/view"", ""CLIMATEMPO ASSESSORIA E CONSULTORIA METEOROLOGICA LTDA."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQONOA2/view"", ""Climatempo - CDP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Of5zsIAB/view"", ""CLIMATEMPO #GCP #CDP"")",,Corporate,BR CORP,Build with AI,3:  Proposal / Negotiation,2026-09-16,2026-09-24,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVnnQAE/view"", ""AeC Centro de Contatos S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePrEOAU/view"", ""Fabrica de Agentes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJSEUIA5/view"", ""Revisão da arquitetura para utilização de  Vertex AI e do Cloud Run"")",,Corporate,BR CORP,Build with AI,4.1: Pre Ramp / Mobilize,2026-08-06,2026-10-05,"95,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hWlDEQA0/view"", ""Embraco"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePVcOAM/view"", ""[Nidec] #Gemini Enterprise | 1000 seats"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PWQjdIAH/view"", ""[Embraco/Nidec] #Gemini Enterprise | 1000 seats"")",,Corporate,BR CORP,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-30,2026-10-16,"188,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001yS2OXQA0/view"", ""Redrive"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WCjbOAG/view"", ""Redrive #IA #GCP #OUT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OpVupIAF/view"", ""Redrive  #IA #GCP #OUT"")",,Corporate,BR CORP,Build with AI,0-2: Tech Eval/Solution Dev,2026-11-30,2026-12-30,"15,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUBZqQAO/view"", ""Marisa Lojas S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOwhOAE/view"", ""Marisa - Inteligencia de Mercado"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OQmFSIA1/view"", ""Solução de inteligencia de mercado #TDSYNNEX"")",,Corporate,BR CORP,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-20,2026-09-23,"1,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVnnQAE/view"", ""AeC Centro de Contatos S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLhwOAG/view"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OFZXkIAP/view"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")",,Corporate,BR CORP,Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-09-16,2026-09-16,"120,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001n6bFlQAI/view"", ""Americanas S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WCQtOAO/view"", ""Americanas - Incremental Growth- DataLake - SUNO Projects"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OebgTIAR/view"", ""Revenue Increase - BigQuery&Vertex"")",,Brazil,Retail & CPG,Analytics,4.3: Migrated/Implemented,2026-07-20,2026-07-27,"83,839.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUEKQQA4/view"", ""PATRUS TRANSPORTES LTDA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLXBOA4/view"", ""Patrus: Looker"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyZdIAJ/view"", ""Patrus: Looker"")",,Corporate,BR CORP,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-07,2026-09-18,"50,000.00"
