Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,1,2,3,🟢 Ready (3 profiles)
Application Modernization,"Migrate, Modernize and Build",Cloud Run,4,8,12,🟢 Ready (12 profiles)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,4,10,14,🟡 Constrained (14 DRP / 28 wkls)
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,4,26,30,🟢 Ready (30 DRP / 15 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,🔴 Gap (0 DRP / 4 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,13,31,44,🟢 Ready (44 DRP / 14 wkls)
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,13,31,44,🟢 Ready (44 profiles)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,1,6,7,🟡 Constrained (7 DRP / 15 wkls)
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,13,31,44,🟢 Ready (44 DRP / 1 wkls)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,13,31,44,🟢 Ready (44 profiles)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,7,4,11,🟡 Constrained (11 DRP / 14 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,5,8,🟢 Ready (8 profiles)
Data & Analytics,The AI Ready Data Cloud,BigQuery,7,4,11,🟢 Ready (11 DRP / 1 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,5,8,🟢 Ready (8 profiles)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Data & Analytics,The AI Ready Data Cloud,Looker,2,1,3,🟢 Ready (3 DRP / 2 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,1,1,🟡 Constrained (1 DRP / 3 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,2,5,7,🟢 Ready (7 DRP / 2 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,1,1,🟢 Ready (1 profiles)
Databases,The AI Ready Data Cloud,Cloud SQL,2,5,7,🟢 Ready (7 profiles)
Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,1,1,🟢 Ready (1 DRP / 1 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,1,1,🟢 Ready (1 profiles)
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,2,2,🟢 Ready (2 profiles)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,5,13,18,🟢 Ready (18 profiles)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,13,9,22,🟢 Ready (22 DRP / 13 wkls)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Security Command Center,5,5,10,🟢 Ready (10 profiles)
Security,Agentic Defense with Google Security,Security Operations,5,1,6,🟢 Ready (6 DRP / 1 wkls)
Security,Secure Innovation with Google Cloud,Cloud Security,5,3,8,🟢 Ready (8 DRP / 1 wkls)
Workspace,Agentic Workplace Transformation,Workspace,5,4,9,🟢 Ready (9 DRP / 1 wkls)
