Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,1,2
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,4,1,5
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,1,1
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,,
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,,
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,,
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,,
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,1,1
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,1,,1
Data & Analytics,The AI Ready Data Cloud,BigQuery,,1,1
Data & Analytics,The AI Ready Data Cloud,Dataflow,1,,1
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
Data & Analytics,The AI Ready Data Cloud,Looker,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,1,2,3
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
Databases,The AI Ready Data Cloud,Cloud SQL,1,2,3
Databases,The AI Ready Data Cloud,Spanner,,,
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,2,2,4
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,5,1,6
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
Security,Agentic Defense with Google Security,Security Command Center,2,,2
Security,Agentic Defense with Google Security,Security Operations,3,1,4
Security,Secure Innovation with Google Cloud,Cloud Security,,1,1
Workspace,Agentic Workplace Transformation,Workspace,4,2,6
