Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,1,1
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,4,,4
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,4,,4
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,1,2,3
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,4,,4
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,4,,4
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,,
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,,
Data & Analytics,The AI Ready Data Cloud,BigQuery,,,
Data & Analytics,The AI Ready Data Cloud,Dataflow,,,
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
Data & Analytics,The AI Ready Data Cloud,Looker,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
Databases,The AI Ready Data Cloud,Cloud SQL,,,
Databases,The AI Ready Data Cloud,Spanner,,,
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,,
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,,,
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
Security,Agentic Defense with Google Security,Security Command Center,,,
Security,Agentic Defense with Google Security,Security Operations,,,
Security,Secure Innovation with Google Cloud,Cloud Security,,,
Workspace,Agentic Workplace Transformation,Workspace,,,
