Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hOJ3fQAG/view"", ""Ministerio de Relaciones Exteriores (RREE)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WArOOAW/view"", ""Mirex - GE 500 licencias"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeskuIAB/view"", ""GE - 500 licencias - Mirex - RREE"")",,PS,MEXICO & PECS PS,Build with AI,4.1: Pre Ramp / Mobilize,2026-08-19,2026-10-22,"300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRoTeQAK/view"", ""Deltec Bank"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W7tMOAS/view"", ""Agente conciliacion bancaria"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OegB9IAJ/view"", ""#Gemini Enterprise Conciliacion bancaria - Agentes"")",,Corporate,MCO CORP CCA,,0-2: Tech Eval/Solution Dev,2026-10-20,2026-12-01,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6vWOAS/view"", ""Defensoria del Consumidor - 180k$"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,4.3: Migrated/Implemented,2026-05-05,2026-08-12,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082SyrOAE/view"", ""MinEc - AI + Data"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Analytics,4.3: Migrated/Implemented,2026-04-14,2026-07-31,"172,234.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082RsjOAE/view"", ""GE - 70 licences - Defensoria"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,4.3: Migrated/Implemented,2026-03-27,2026-04-06,"42,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082RsiOAE/view"", ""GE - 70 licences - Cajamined"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Build with AI,4.3: Migrated/Implemented,2026-03-27,2026-04-06,"42,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JUZbqQAH/view"", ""MINEC - Ministerio de Economía"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009e47rOAA/view"", ""MINEC - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OR1uMIAT/view"", ""MINEC - AI Solutions"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PKebKAG/view"", ""ER-458826"")",PS,MEXICO & PECS PS,Build with AI,4.3: Migrated/Implemented,2026-03-03,2026-03-26,"96,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082NhMOAU/view"", ""MinEc - Wordpress"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-03-03,2026-03-27,"72,909.84"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JUZbqQAH/view"", ""MINEC - Ministerio de Economía"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082NJZOA2/view"", ""Wordpress - MinEc - Migracion"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N5hSUIAZ/view"", ""Wordpress - MinEc - Migracion"")",,PS,MEXICO & PECS PS,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-02-26,2026-03-18,"72,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Grupo Consiti: Consultoría y Soluciones Informáticas S.A de C.V."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202fW9QAI/view"", ""Gobierno de la Republica de El Salvador"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082KXJOA2/view"", ""INVEST take over AWS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cKF5SQAW/view"", ""Presidencia de la Republica de El Salvador - $ 300 TCV / 7 YR #LLM"")",,PS,MEXICO & PECS PS,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-01-12,2026-03-06,"153,974.10"
