PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Xertica | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),13,"$1,491,929.00",4,"$512,556.36",2,"$448,000.00",19,"$2,452,485.36",47.5%,Build with AI,"$129,078.18",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),13,"$2,345,873.00",6,"$490,532.00",2,"$240,000.00",21,"$3,076,405.00",52.5%,Build with AI,"$146,495.48",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,26,"$3,837,802.00",10,"$1,003,088.36",4,"$688,000.00",40,"$5,528,890.36",100.0%,-,"$138,222.26",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hlY7pQAE"", ""PANDERO S.A. EAFC"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eKD9OAM"", ""Pandero | 400 licencias Gemini Enterprise"")","$58,956.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Arianne Mahuad Escardo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSO9HIAX"", ""Pandero | Commit 3Y FY26-FY29"")",0014M00001h323oQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hZ7ikQAC"", ""Empresa Editora El Comercio S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tV25OAE"", ""El Comercio | 200 Licencias Gemini Enterprise"")","$48,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Arianne Mahuad Escardo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NS5uUIAT"", ""El Comercio | 200 Licencias Gemini Enterprise"")",0014M00001h323oQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMMnnQAG"", ""IASA , S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJLBOA2"", ""IASA #GE Standard"")","$26,900.00",Stage 0-2 ➔ Stage 3,July,2026-07-02,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alexandra Rodríguez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OB8SyIAL"", ""IASA #GE"")",0014M00001h32ptQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwdLQAS"", ""Vianney Textil Hogar, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMyvOAE"", ""Vianney - Gemini Ent"")","$15,973.00",Stage 0-2 ➔ Stage 3,July,2026-07-02,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Jesus Gonzalez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAft6IAD"", ""Vianney Textil Hogar#GCP#Gemini Enterprise #OUT#MX #FY26_AWT_Renewal"")",0014M00001h34zJQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwdLQAS"", ""Vianney Textil Hogar, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eJSwOAM"", ""Vianney - Commit 2.0"")","$250,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Jesus Gonzalez,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpmkDIAR"", ""Vianney (Xertica / $ 1,650,000 TCV / 3 YRS"")",0014M00001h34zJQAQ,Progressed
