Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,🔴 Gap (0 / 3 wkls)
Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,,🔴 Gap (0 / 3 wkls)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,,🔴 Gap (0 / 3 wkls)
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,1,2,🟡 Constrained (2 / 11 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,1,1,🟡 Constrained (1 / 11 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,,🔴 Gap (0 / 11 wkls)
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,1,1,🟡 Constrained (1 / 11 wkls)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,🔴 Gap (0 / 11 wkls)
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,1,1,🟡 Constrained (1 / 11 wkls)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,1,1,🟡 Constrained (1 / 11 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,8,3,11,🟢 Ready (11 / 5 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,5,8,🟢 Ready (8 / 5 wkls)
Data & Analytics,The AI Ready Data Cloud,BigQuery,8,3,11,🟢 Ready (11 / 5 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataflow,3,5,8,🟢 Ready (8 / 5 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,🔴 Gap (0 / 5 wkls)
Data & Analytics,The AI Ready Data Cloud,Looker,1,1,2,🟡 Constrained (2 / 5 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,,⚪ No Active Demand
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,Cloud SQL,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,1,,1,🟡 Constrained (1 / 6 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,🔴 Gap (0 / 6 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,🔴 Gap (0 / 6 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,,,🔴 Gap (0 / 6 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,,,,🔴 Gap (0 / 6 wkls)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,🔴 Gap (0 / 6 wkls)
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,🔴 Gap (0 / 1 wkls)
Security,Agentic Defense with Google Security,Security Command Center,,,,🔴 Gap (0 / 1 wkls)
Security,Agentic Defense with Google Security,Security Operations,,,,🔴 Gap (0 / 1 wkls)
Security,Secure Innovation with Google Cloud,Cloud Security,,,,🔴 Gap (0 / 1 wkls)
Workspace,Agentic Workplace Transformation,Workspace,,,,⚪ No Active Demand
