Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,⚪ No Active Demand
Application Modernization,"Migrate, Modernize and Build",Cloud Run,,1,1,🟢 Ready (1 profiles)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,,⚪ No Active Demand
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,,⚪ No Active Demand
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,1,2,🟢 Ready (2 profiles)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,,⚪ No Active Demand
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,1,2,🟢 Ready (2 profiles)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,⚪ No Active Demand
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,1,2,🟢 Ready (2 profiles)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,1,2,🟢 Ready (2 profiles)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,1,4,5,🟢 Ready (5 profiles)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,1,1,🟢 Ready (1 profiles)
Data & Analytics,The AI Ready Data Cloud,BigQuery,1,4,5,🟢 Ready (5 profiles)
Data & Analytics,The AI Ready Data Cloud,Dataflow,,1,1,🟢 Ready (1 profiles)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Data & Analytics,The AI Ready Data Cloud,Looker,,,,⚪ No Active Demand
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,3,3,🟢 Ready (3 profiles)
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,🔴 Gap (0 DRP / 1 wkls)
Databases,The AI Ready Data Cloud,Cloud SQL,,3,3,🟢 Ready (3 profiles)
Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,2,2,🟢 Ready (2 profiles)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,4,3,7,🟢 Ready (7 profiles)
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,2,2,🟢 Ready (2 profiles)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,6,,6,🟢 Ready (6 profiles)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,6,1,7,🟢 Ready (7 profiles)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Security,Agentic Defense with Google Security,Security Command Center,5,,5,🟢 Ready (5 profiles)
Security,Agentic Defense with Google Security,Security Operations,5,,5,🟢 Ready (5 profiles)
Security,Secure Innovation with Google Cloud,Cloud Security,5,1,6,🟢 Ready (6 profiles)
Workspace,Agentic Workplace Transformation,Workspace,,,,⚪ No Active Demand
