Partner Name,Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Comercializadora Zenta Group SPA,Application Modernization,"Migrate, Modernize and Build",Cloud Run,0,1,1
Comercializadora Zenta Group SPA,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,0,1,1
Comercializadora Zenta Group SPA,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,1,2
Comercializadora Zenta Group SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,1,2
Comercializadora Zenta Group SPA,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,1,2
Comercializadora Zenta Group SPA,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,1,2
Comercializadora Zenta Group SPA,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,1,2
Comercializadora Zenta Group SPA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,0,2,2
Comercializadora Zenta Group SPA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,1,1,2
Tech Pulse SPA (Axmos),Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,2,3
Tech Pulse SPA (Axmos),Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,1,5,6
Tech Pulse SPA (Axmos),Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,2,3
Tech Pulse SPA (Axmos),Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,4,5
Tech Pulse SPA (Axmos),Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,4,5
Tech Pulse SPA (Axmos),Artificial Intelligence,Scale AI Apps and Agents,AI Applications,0,1,1
Tech Pulse SPA (Axmos),Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,4,5
Tech Pulse SPA (Axmos),Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,4,5
Tech Pulse SPA (Axmos),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,2,5,7
Tech Pulse SPA (Axmos),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,3,3,6
Tech Pulse SPA (Axmos),Data & Analytics,The AI Ready Data Cloud,BigQuery,2,5,7
Tech Pulse SPA (Axmos),Data & Analytics,The AI Ready Data Cloud,Dataflow,3,3,6
Tech Pulse SPA (Axmos),Data & Analytics,The AI Ready Data Cloud,Looker,0,1,1
Tech Pulse SPA (Axmos),Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,5,1,6
Tech Pulse SPA (Axmos),Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,1,3,4
Tech Pulse SPA (Axmos),Databases,The AI Ready Data Cloud,Cloud SQL,5,1,6
Tech Pulse SPA (Axmos),Databases,The AI Ready Data Cloud,Spanner,1,3,4
Tech Pulse SPA (Axmos),Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,0,3,3
Tech Pulse SPA (Axmos),Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,3,4,7
Tech Pulse SPA (Axmos),Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,8,6,14
Tech Pulse SPA (Axmos),Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,10,4,14
Tech Pulse SPA (Axmos),Security,Agentic Defense with Google Security,Security Command Center,3,4,7
Tech Pulse SPA (Axmos),Security,Agentic Defense with Google Security,Security Operations,2,1,3
