Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,🔴 Gap (0 / 10 wkls)
Application Modernization,"Migrate, Modernize and Build",Cloud Run,1,1,2,🟡 Constrained (2 / 10 wkls)
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,4,1,5,🟡 Constrained (5 / 10 wkls)
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,1,1,🟡 Constrained (1 / 32 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,,,🔴 Gap (0 / 32 wkls)
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,,🔴 Gap (0 / 32 wkls)
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,,,🔴 Gap (0 / 32 wkls)
Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,🔴 Gap (0 / 32 wkls)
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,,,🔴 Gap (0 / 32 wkls)
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,,,🔴 Gap (0 / 32 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,1,1,🟡 Constrained (1 / 9 wkls)
Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,1,,1,🟡 Constrained (1 / 9 wkls)
Data & Analytics,The AI Ready Data Cloud,BigQuery,,1,1,🟡 Constrained (1 / 9 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataflow,1,,1,🟡 Constrained (1 / 9 wkls)
Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,🔴 Gap (0 / 9 wkls)
Data & Analytics,The AI Ready Data Cloud,Looker,,,,🔴 Gap (0 / 9 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,🔴 Gap (0 / 4 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,1,2,3,🟡 Constrained (3 / 4 wkls)
Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,🔴 Gap (0 / 4 wkls)
Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,🔴 Gap (0 / 4 wkls)
Databases,The AI Ready Data Cloud,Cloud SQL,1,2,3,🟡 Constrained (3 / 4 wkls)
Databases,The AI Ready Data Cloud,Spanner,,,,🔴 Gap (0 / 4 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,🔴 Gap (0 / 10 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,🔴 Gap (0 / 10 wkls)
Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,🔴 Gap (0 / 10 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,2,2,4,🟡 Constrained (4 / 10 wkls)
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,5,1,6,🟡 Constrained (6 / 10 wkls)
Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,🔴 Gap (0 / 10 wkls)
Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,🔴 Gap (0 / 1 wkls)
Security,Agentic Defense with Google Security,Security Command Center,2,,2,🟢 Ready (2 / 1 wkls)
Security,Agentic Defense with Google Security,Security Operations,3,1,4,🟢 Ready (4 / 1 wkls)
Security,Secure Innovation with Google Cloud,Cloud Security,,1,1,🟢 Ready (1 / 1 wkls)
Workspace,Agentic Workplace Transformation,Workspace,4,2,6,🟢 Ready (6 profiles)
